date_str,htemp,ltemp,weather,WD,WS,week,city_code,city_name
2025-01-11,-8,-15,多云,西风,4级,星期六,suyouqi,苏右旗
2025-01-12,-7,-14,多云,西风,5级,星期日,suyouqi,苏右旗
2025-01-13,-8,-13,多云,西风,4级,星期一,suyouqi,苏右旗
2025-01-14,-13,-16,晴,西北风,5级,星期二,suyouqi,苏右旗
2025-01-15,-9,-15,阴,西风,6级,星期三,suyouqi,苏右旗
2025-01-16,-7,-12,晴,西风,5级,星期四,suyouqi,苏右旗
2025-01-17,-3,-9,晴,西南风,4级,星期五,suyouqi,苏右旗
2025-01-18,-5,-10,晴,西风,5级,星期六,suyouqi,苏右旗
2025-01-19,-4,-11,晴,西南风,4级,星期日,suyouqi,苏右旗
2025-01-20,-3,-7,多云,西风,4级,星期一,suyouqi,苏右旗
2025-01-21,-5,-10,多云,东风,2级,星期二,suyouqi,苏右旗
2025-01-22,-2,-9,多云,西南风,3级,星期三,suyouqi,苏右旗
2025-01-23,-2,-7,晴,西风,3级,星期四,suyouqi,苏右旗
2025-01-24,-2,-8,多云,东风,3级,星期五,suyouqi,苏右旗
2025-01-25,-4,-9,小雪,西风,6级,星期六,suyouqi,苏右旗
2025-01-26,-9,-17,多云,西风,6级,星期日,suyouqi,苏右旗
2025-01-27,-15,-17,晴,西北风,5级,星期一,suyouqi,苏右旗
2025-01-28,-10,-18,多云,西风,4级,星期二,suyouqi,苏右旗
2025-01-29,-13,-15,阴,东风,4级,星期三,suyouqi,苏右旗
2025-01-30,-12,-17,多云,东风,4级,星期四,suyouqi,苏右旗
2025-01-31,-8,-14,多云,东风,3级,星期五,suyouqi,苏右旗
2025-01-01,-11,-5,多云,西南风,2级,星期三,suyouqi,苏右旗
2025-01-02,-15,-8,晴,西风,4级,星期四,suyouqi,苏右旗
2025-01-03,-12,-5,晴,西风,4级,星期五,suyouqi,苏右旗
2025-01-04,-9,-4,阴,西风,4级,星期六,suyouqi,苏右旗
2025-01-05,-15,-7,晴,西风,3级,星期日,suyouqi,苏右旗
2025-01-06,-12,-5,晴,西风,5级,星期一,suyouqi,苏右旗
2025-01-07,-19,-6,多云,西北风,5级,星期二,suyouqi,苏右旗
2025-01-08,-18,-9,晴,西北风,5级,星期三,suyouqi,苏右旗
2025-01-09,-17,-10,晴,西北风,3级,星期四,suyouqi,苏右旗
2025-01-10,-17,-9,晴,西风,3级,星期五,suyouqi,苏右旗
2025-02-11,-5,-12,多云,西风,5级,星期二,suyouqi,苏右旗
2025-02-12,-6,-13,晴,西风,6级,星期三,suyouqi,苏右旗
2025-02-13,-2,-10,晴,西风,6级,星期四,suyouqi,苏右旗
2025-02-14,0,-7,晴,西风,6级,星期五,suyouqi,苏右旗
2025-02-15,-4,-9,多云,西风,5级,星期六,suyouqi,苏右旗
2025-02-16,-7,-14,晴,西北风,5级,星期日,suyouqi,苏右旗
2025-02-17,-4,-14,晴,北风,3级,星期一,suyouqi,苏右旗
2025-02-18,-7,-14,晴,西北风,3级,星期二,suyouqi,苏右旗
2025-02-19,-6,-15,晴,西北风,3级,星期三,suyouqi,苏右旗
2025-02-20,-7,-14,多云,东北风,3级,星期四,suyouqi,苏右旗
2025-02-21,-11,-15,多云,东北风,3级,星期五,suyouqi,苏右旗
2025-02-22,-12,-15,多云,北风,4级,星期六,suyouqi,苏右旗
2025-02-23,-7,-14,晴,西风,4级,星期日,suyouqi,苏右旗
2025-02-24,-1,-10,晴,西风,5级,星期一,suyouqi,苏右旗
2025-02-25,-5,-10,晴,西风,5级,星期二,suyouqi,苏右旗
2025-02-26,2,-8,晴,西风,5级,星期三,suyouqi,苏右旗
2025-02-27,4,-5,晴,西风,5级,星期四,suyouqi,苏右旗
2025-02-28,7,-2,多云,西风,4级,星期五,suyouqi,苏右旗
2025-02-01,-11,-8,阴,西北风,3级,星期六,suyouqi,苏右旗
2025-02-02,-15,-12,晴,西北风,5级,星期日,suyouqi,苏右旗
2025-02-03,-16,-13,多云,西北风,4级,星期一,suyouqi,苏右旗
2025-02-04,-17,-14,多云,西北风,5级,星期二,suyouqi,苏右旗
2025-02-05,-19,-11,阴,西风,6级,星期三,suyouqi,苏右旗
2025-02-06,-22,-14,阴,西北风,6级,星期四,suyouqi,苏右旗
2025-02-07,-22,-18,晴,西北风,4级,星期五,suyouqi,苏右旗
2025-02-08,-21,-14,晴,西南风,3级,星期六,suyouqi,苏右旗
2025-02-09,-16,-8,多云,西南风,4级,星期日,suyouqi,苏右旗
2025-02-10,-13,-3,晴,西南风,5级,星期一,suyouqi,苏右旗
