date_str,htemp,ltemp,weather,WD,WS,week
2025-02-11,-1,-11,多云,西北风,5级,星期二
2025-02-12,0,-10,晴,西北风,3级,星期三
2025-02-13,2,-8,晴,西风,3级,星期四
2025-02-14,3,-6,晴,西北风,5级,星期五
2025-02-15,2,-5,多云,西北风,6级,星期六
2025-02-16,4,-5,晴,东南风,3级,星期日
2025-02-17,5,-5,晴,北风,3级,星期一
2025-02-18,2,-7,阴,东风,3级,星期二
2025-02-19,3,-3,多云,东风,3级,星期三
2025-02-20,3,-9,多云,东南风,3级,星期四
2025-02-21,0,-8,多云,东风,4级,星期五
2025-02-22,-3,-9,多云,东风,3级,星期六
2025-02-23,0,-9,多云,东南风,4级,星期日
2025-02-24,3,-8,多云,西北风,4级,星期一
2025-02-25,7,-3,晴,西北风,3级,星期二
2025-02-26,8,-2,多云,东南风,3级,星期三
2025-02-27,9,-2,多云,西北风,3级,星期四
2025-02-28,9,-2,多云,东北风,3级,星期五
2025-02-01,-7,-1,阴,西北风,5级,星期六
2025-02-02,-7,-3,多云,西北风,4级,星期日
2025-02-03,-9,-1,晴,西南风,2级,星期一
2025-02-04,-11,-4,晴,西北风,5级,星期二
2025-02-05,-11,-4,晴,西北风,5级,星期三
2025-02-06,-14,-5,晴,西北风,5级,星期四
2025-02-07,-13,-6,晴,东南风,3级,星期五
2025-02-08,-12,-3,多云,东南风,3级,星期六
2025-02-09,-7,1,晴,西北风,6级,星期日
2025-02-10,-5,3,多云,西北风,4级,星期一
